ur.0642222407.69 ur.01270211166.22 5 1 1 1
ur.0642222407.69 ur.0672450313.68 5 1 1 1
ur.0642222407.69 ur.016565017177.44 5 1 1 1
ur.01207126007.09 ur.0772400475.04 5 1 1 1
ur.01207126007.09 ur.01266770363.21 6 1 1 0
ur.01207126007.09 ur.01270211166.22 5 1 1 1
ur.01207126007.09 ur.0672450313.68 5 1 1 1
ur.01207126007.09 ur.016565017177.44 5 1 1 1
ur.01021644616.05 ur.016565017177.44 6 1 1 0
ur.07675207637.48 ur.016565017177.44 6 1 1 0
ur.0772400475.04 ur.01266770363.21 7 1 1 1
ur.0772400475.04 ur.01270211166.22 7 1 1 0
ur.0772400475.04 ur.0672450313.68 11 0 0 0
ur.0772400475.04 ur.016565017177.44 7 1 1 1
ur.01266770363.21 ur.01270211166.22 7 1 1 1
ur.01266770363.21 ur.0672450313.68 8 1 1 1
ur.01266770363.21 ur.016565017177.44 8 1 1 1
ur.01270211166.22 ur.0672450313.68 7 1 1 0
ur.01270211166.22 ur.016565017177.44 7 1 1 1
ur.0672450313.68 ur.016565017177.44 8 1 1 1
ur.01121637424.36 ur.0733345036.13 6 0 1 0
ur.0603414504.44 ur.01030230404.46 7 0 0 0
ur.01361106063.43 ur.01340242547.05 5 1 1 0
